Ward,Sum_Score,Average_Score,Ward_numeric
1,4985.589942382649,49.855899423826486,1
2,5142.248795600608,51.42248795600608,2
3,4860.5169016402215,48.605169016402215,3
4,4921.924609248526,49.219246092485264,4
5,4853.904170822352,48.53904170822352,5
6,5190.527514927089,51.90527514927089,6
7,5022.891591745429,50.22891591745429,7
8,4848.3292353805155,48.483292353805155,8
9,4855.2319628419355,48.552319628419355,9
10,5046.6154765104875,50.466154765104875,10
11,4791.264625592157,47.91264625592157,11
12,4942.0559188351035,49.420559188351035,12
13,4985.4657356394455,49.854657356394455,13
14,4480.883328896016,44.80883328896016,14
15,5494.973798166029,54.94973798166029,15
16,4706.422754772939,47.06422754772939,16
17,5168.241556617431,51.68241556617431,17
18,5402.007746323943,54.02007746323943,18
19,5299.959398806095,52.99959398806095,19
20,4554.374731867574,45.54374731867574,20
21,4915.6585986493155,49.156585986493155,21
22,5112.700450513512,51.12700450513512,22
23,4876.049833581783,48.76049833581783,23
24,4964.497836888768,49.64497836888768,24
25,4673.181581753306,46.73181581753306,25
